Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
-,CodPieceZ+7710,1121.8264118789448,5,0.0,0.0%,1200,-13
-,Hurple+6007,1120.920268996815,12,1.0,8.3%,1200,-6
-,Banzai7000+1191,1120.8334471445787,15,1.0,6.7%,1200,-3
-,Gaborever+8187,1120.623938167177,6,0.0,0.0%,1200,-16
-,KargDemiau+7823,1118.8061651426592,6,0.0,0.0%,1200,-20
-,voltigeur+3314,1116.6530547720017,6,0.0,0.0%,1200,-10
-,hauntedpebbles2+8720,1116.5125990955905,11,0.5,4.5%,1200,-10
-,nikkan+7933,1115.7673233164098,7,0.0,0.0%,1200,-17
-,sparrowhawk+9374,1115.685052022464,7,0.0,0.0%,1200,-6
-,TheWiseFox+8428,1115.5933870751805,6,0.0,0.0%,1200,-17
-,NonStInc.+6190,1113.6610915723825,5,0.0,0.0%,1200,-18
-,Piechu+7320,1113.0145526191043,49,7.0,14.3%,1236,-8
-,FakeSki+4232,1112.0541314300776,24,2.5,10.4%,1313,-3
-,Darkwonderer+1035,1112.026882324671,6,0.0,0.0%,1200,-17
-,Trumpet+4282,1110.4045659187975,6,0.0,0.0%,1200,-7
-,Whats02+5282,1109.3286528649744,8,0.0,0.0%,1200,-12
-,ellbelle+9011,1106.773135553815,13,1.0,7.7%,1200,-5
-,PlagueCarrier+5718,1106.3948237422853,31,4.0,12.9%,1200,-4
-,Acelet,1106.2704785001974,6,0.0,0.0%,1200,-19
-,Jboooooooooooooooooooom+4776,1105.5144741473337,6,0.0,0.0%,1200,-13
-,Cheesecake271+5205,1103.9999567562156,7,0.0,0.0%,1200,-11
-,Oppapi+9478,1103.1085421700443,30,4.0,13.3%,1200,-8
-,TonyDeloreanESQ+4756,1102.9493172286489,51,5.0,9.8%,1200,-2
-,Elijah+6615,1101.7947293269335,8,0.0,0.0%,1200,-13
-,re_al_+5392,1100.9597153675063,7,0.0,0.0%,1200,-9
-,Wubba+9310,1097.7417078008616,22,2.0,9.1%,1200,-9
-,Dandel+3128,1097.6789515184573,25,3.0,12.0%,1200,+34
