Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
-,Raineweather05+2319,1185.671415308601,0,0.0,0.0%,1186,0
-,FelipeRocha+9451,1185.426229197815,0,0.0,0.0%,1185,0
-,mysti+7857,1185.3123977653102,0,0.0,0.0%,1185,0
-,StrikeOrca+4455,1185.1899889819229,1,0.0,0.0%,1200,-17
-,mwcrabtree,1185.0695808147543,0,0.0,0.0%,1185,0
-,tubaking+4200,1184.945383974229,0,0.0,0.0%,1185,0
-,balonthebold+1851,1184.8864641601172,1,0.0,0.0%,1200,-18
-,Snivylover12+1064,1184.7964687016683,29,5.0,17.2%,1315,+33
-,BLULOBSTR+1510,1184.7698346672498,1,0.0,0.0%,1200,-18
-,Pi314+6815,1184.705527538337,0,0.0,0.0%,1185,0
-,ThoseTeeff+4061,1184.6251303557297,0,0.0,0.0%,1185,0
-,TurtleJawz+3309,1184.508325416798,1,0.0,0.0%,1200,-18
-,Nuttsy+5282,1184.5009725017178,0,0.0,0.0%,1185,0
-,Julien+5506,1184.5009725017178,0,0.0,0.0%,1185,0
-,chosennuttso,1184.5009725017178,0,0.0,0.0%,1185,0
-,HoosierDaddy+4463,1184.4615061667082,0,0.0,0.0%,1184,0
-,Akayami+8372,1184.3269267601456,0,0.0,0.0%,1184,0
-,lgtw3450+6602,1184.285679904671,0,0.0,0.0%,1184,0
-,Vitsky+1201,1184.276235661577,1,0.0,0.0%,1200,-18
-,Hasan+1782,1184.2086563922385,1,0.0,0.0%,1200,-18
-,stxr444+8143,1184.1606838551204,1,0.0,0.0%,1200,-18
-,DegenerateIan+7146,1184.068307366049,0,0.0,0.0%,1184,0
-,Demand+3288,1184.0243838181002,0,0.0,0.0%,1184,0
-,Clink+5884,1184.0243838181002,0,0.0,0.0%,1184,0
-,Hammad+766,1183.9350063223083,1,0.0,0.0%,1200,-19
-,AJIJIi,1183.6446922961093,0,0.0,0.0%,1184,0
-,Quisyo+8653,1183.586188844125,2,0.0,0.0%,1200,-10
-,FungusMouse+7883,1183.4591830708862,0,0.0,0.0%,1183,0
-,CroCroCro+9495,1183.4371361687126,0,0.0,0.0%,1183,0
-,pikeline+9847,1183.3605853623685,0,0.0,0.0%,1183,0
-,Wolvane+1704,1183.3227087845466,0,0.0,0.0%,1183,0
-,sasquatch+9509,1183.1439049522976,1,0.0,0.0%,1200,-19
-,micherin+7972,1183.0911183332073,0,0.0,0.0%,1183,0
-,GAFE15+7357,1182.998988252765,0,0.0,0.0%,1183,0
-,Welllll+4899,1182.9568979221795,1,0.0,0.0%,1200,-20
-,Azdontek+1234,1182.9568979221795,1,0.0,0.0%,1200,-20
-,StellarHermit+3326,1182.7664801841079,1,0.0,0.0%,1200,-20
-,yoyot1+5057,1182.698596864982,2,0.0,0.0%,1200,-8
-,Lucat+9382,1182.5833984405415,0,0.0,0.0%,1183,0
-,ForkMaster+8694,1182.3159296535289,0,0.0,0.0%,1182,0
-,catscat+1327,1182.2331237379722,0,0.0,0.0%,1182,0
-,pigdog+4355,1182.191045218873,7,1.0,14.3%,1223,-10
-,MelodiCat+8385,1181.905238217959,1,0.0,0.0%,1200,-21
-,kesitron+187,1181.8760079162305,2,0.0,0.0%,1200,-11
-,Sebby+9924,1181.870093242968,0,0.0,0.0%,1182,0
-,Rachel997,1181.8131038762167,0,0.0,0.0%,1182,0
-,Fluffy+189,1181.5306929541846,1,0.0,0.0%,1200,-21
-,WWren+25,1181.4059084657206,0,0.0,0.0%,1181,0
-,Plasma+7413,1181.209988851646,0,0.0,0.0%,1181,0
-,radiantchaos+5523,1181.0658286981386,22,3.0,13.6%,1271,-8
-,bigcathedral+1133,1180.7858082326898,1,0.0,0.0%,1190,-12
-,Gibbs+3656,1180.1267367261946,0,0.0,0.0%,1180,0
-,Actionman2222+4303,1180.1267367261946,0,0.0,0.0%,1180,0
-,CaptainBork+7195,1179.4178984762016,1,0.0,0.0%,1200,-23
-,ConeMan+3213,1179.3292187564912,1,0.0,0.0%,1190,-13
-,Roldan+1152,1179.1008150357954,1,0.0,0.0%,1200,-23
-,scaled+326,1179.0603322474255,1,0.0,0.0%,1200,-23
-,BuckeyeNation+0,1179.0393551481466,0,0.0,0.0%,1179,0
-,themikeman+4306,1178.6223748837474,0,0.0,0.0%,1179,0
-,QuixArtagnan+7824,1178.3454824962962,1,0.0,0.0%,1184,-8
-,GuyNXS+7023,1178.3222523975203,1,0.0,0.0%,1200,-24
-,2eaasley+6663,1177.812766747947,1,0.0,0.0%,1200,-25
-,aaronmaik88+3890,1177.812766747947,1,0.0,0.0%,1200,-25
-,EmbryoticDeth,1177.613943538052,0,0.0,0.0%,1178,0
-,MrRiceGuy+5849,1177.567228443005,0,0.0,0.0%,1178,0
-,nyosh8484+1627,1177.4114172039388,1,0.0,0.0%,1200,-25
-,Cuagodking+3670,1177.0927388691782,0,0.0,0.0%,1177,0
-,wherestonks+4878,1176.90225333163,2,0.0,0.0%,1200,-18
-,RFMerlo+6470,1176.509307966452,0,0.0,0.0%,1177,0
-,Bitto+476,1176.054483981188,13,1.0,7.7%,1326,-8
-,Nierxlelx+7709,1175.2541446681034,1,0.0,0.0%,1200,-27
