Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
-,TheRedViper+1596,1163.3286201191938,3,0.0,0.0%,1200,-10
-,Musicalwoofy+7712,1163.3237901489144,2,0.0,0.0%,1200,-18
-,StarhardFishrinse+1675,1162.507789458874,2,0.0,0.0%,1200,-21
-,LHlegend+5313,1162.19142261749,25,5.0,20.0%,1260,-5
-,CptAlex+2928,1162.1812364611715,3,0.0,0.0%,1200,-14
-,Fearteiler+8050,1161.0105439771544,4,0.0,0.0%,1200,-7
-,Marcus+9032,1160.7063821625134,2,0.0,0.0%,1200,-26
-,Cheetah32+6800,1160.4950131276632,2,0.0,0.0%,1200,-17
-,HungryJeff+6786,1160.4835487112284,3,0.0,0.0%,1200,-13
-,SSR_Mike+6444,1160.4718803359756,2,0.0,0.0%,1200,-22
-,RexCow+93848049,1160.3857198860326,3,0.0,0.0%,1200,-11
-,Ljaz7+6925,1160.2916035953187,3,0.0,0.0%,1200,-12
-,metalnooze+4817,1160.2301215320335,3,0.0,0.0%,1200,-12
-,Biggins96+3792,1159.5863310470547,9,1.0,11.1%,1200,+62
-,MangoBlade11+7548,1158.9812880239292,3,0.0,0.0%,1200,-16
-,lumpyprol+3206,1158.5855717493112,46,8.0,17.4%,1280,-5
-,TheSillyBilly+6135,1157.8161754394694,4,0.0,0.0%,1200,-16
-,Hiyoshi+2879,1157.4602099919289,3,0.0,0.0%,1200,-12
-,DanzigMF+6351,1157.337083212003,49,8.0,16.3%,1214,-5
-,Odinius+897,1156.2620210064565,55,10.5,19.1%,1251,-4
-,weirdone+8473,1155.843812120051,3,0.0,0.0%,1200,-16
-,Baradhas+8593,1155.5279103411985,7,1.0,14.3%,1200,-17
-,chux88+4717,1155.215103429852,3,0.0,0.0%,1200,-8
-,Zeldamon+7946,1154.6829237543664,3,0.0,0.0%,1200,-12
-,Podge0303+8578,1154.6799970596394,24,4.0,16.7%,1200,+31
-,pashatherussian+5688,1154.5115294397235,3,0.0,0.0%,1200,-14
-,HobGungan+2914,1154.4387124370285,85,16.5,19.4%,1244,+16
-,optimusprawn+9866,1153.3479988781291,3,0.0,0.0%,1200,-8
-,FVMLion+1706,1152.5559379337562,20,3.5,17.5%,1241,-6
-,WyvernElement+1816,1151.9562460499537,24,4.0,16.7%,1255,-10
-,MylesMoose+6850,1151.6539612347865,27,5.0,18.5%,1277,-10
-,Cloudere+8085,1151.4411465017135,3,0.0,0.0%,1200,-19
-,benssoon+802,1151.3089526225986,17,3.0,17.6%,1200,-9
-,Alexispc+6921,1150.761076529513,3,0.0,0.0%,1200,-20
-,BugMuff44+9091,1148.8549507551616,6,1.0,16.7%,1259,-21
-,Lambo+7524,1148.120679787458,4,0.0,0.0%,1200,-10
-,Gabobs+7758,1146.7515959622717,3,0.0,0.0%,1200,-14
-,Riverman+1204,1146.5603471783206,3,0.0,0.0%,1200,-21
-,TheIndustrialRevoloution+3880,1146.1923270558968,4,0.0,0.0%,1200,-11
-,Jerry,1145.3620657942463,3,0.0,0.0%,1200,-20
-,FatBoyyy+6258,1144.6977718743444,3,0.0,0.0%,1200,-18
-,McMayo+5829,1144.1032307927949,4,0.0,0.0%,1200,-13
-,TheFourthJesse+9103,1143.4396172461957,17,2.0,11.8%,1243,-9
-,sleepylabone+1003,1143.4235454130912,5,0.0,0.0%,1200,-14
-,RangerEpic+3948,1143.148890463263,4,0.0,0.0%,1200,-14
-,Blank+7029,1143.0189720037126,4,0.0,0.0%,1200,-13
-,Harriet+1445,1142.391450206654,4,0.0,0.0%,1200,-11
-,darkcat+794,1142.3282601625965,18,3.0,16.7%,1246,-7
-,Soluna+2127,1142.02197842283,4,0.0,0.0%,1200,-9
-,Xman1997+3777,1140.7436136126346,5,0.0,0.0%,1200,-10
-,BoMa85+9812,1140.2994127418012,4,0.0,0.0%,1200,-14
-,CoxyNormus+5176,1140.1858597421287,3,0.0,0.0%,1200,-27
-,Lokfok+5204,1139.9447007091453,4,0.0,0.0%,1200,-22
-,NattyKash+316,1139.716363455465,4,0.0,0.0%,1200,-14
-,Dumbledore+1135,1139.7047595345382,4,0.0,0.0%,1200,-15
-,marksoz00+1780,1137.0444292512032,9,1.0,11.1%,1223,-9
-,Sharkskln+6071,1135.955692956938,9,1.0,11.1%,1200,-13
-,Wrestler+3756,1134.4783411886256,49,8.0,16.3%,1231,-6
-,Krooter+8646,1133.0906364112423,5,0.0,0.0%,1200,-10
-,NaySmith+3702,1132.621067478235,4,0.0,0.0%,1200,-22
-,Gagneto+8499,1131.3222167191893,13,1.0,7.7%,1200,-6
-,Hadjiya+4475,1131.3014209269013,57,9.0,15.8%,1200,-2
-,Ironic+3891,1129.4126558761338,5,0.0,0.0%,1200,-10
-,ReoWulf+5368,1127.6251655004505,19,3.0,15.8%,1310,-3
-,Hossain2020+1837,1127.3114404263274,4,0.0,0.0%,1200,-16
-,TempExtremal+1625,1122.8782567950122,5,0.0,0.0%,1200,-8
-,CodPieceZ+7710,1122.580565590342,5,0.0,0.0%,1200,-13
-,mkcy3+8006,1121.982624039219,16,2.0,12.5%,1243,-4
-,Banzai7000+1191,1120.9416703128807,15,1.0,6.7%,1200,-3
-,Hurple+6007,1120.9185644549418,12,1.0,8.3%,1200,-6
-,Gaborever+8187,1120.596469867416,6,0.0,0.0%,1200,-16
-,KargDemiau+7823,1118.801799864641,6,0.0,0.0%,1200,-20
-,voltigeur+3314,1116.682844942012,6,0.0,0.0%,1200,-10
-,hauntedpebbles2+8720,1116.4561954585245,11,0.5,4.5%,1200,-10
-,sparrowhawk+9374,1116.270935140349,7,0.0,0.0%,1200,-6
-,nikkan+7933,1115.67998304276,7,0.0,0.0%,1200,-17
-,TheWiseFox+8428,1115.3099483348265,6,0.0,0.0%,1200,-17
-,NonStInc.+6190,1113.5509269009085,5,0.0,0.0%,1200,-18
-,Piechu+7320,1112.98885786863,49,7.0,14.3%,1236,-8
-,FakeSki+4232,1112.627789398126,24,2.5,10.4%,1313,-3
-,Darkwonderer+1035,1111.9391087800523,6,0.0,0.0%,1200,-17
-,Trumpet+4282,1110.3339205142083,6,0.0,0.0%,1200,-7
-,Whats02+5282,1109.2541331293437,8,0.0,0.0%,1200,-12
-,ellbelle+9011,1106.8793904933427,13,1.0,7.7%,1200,-5
-,PlagueCarrier+5718,1106.6003812018853,31,4.0,12.9%,1200,-4
-,Acelet,1106.1174012151298,6,0.0,0.0%,1200,-19
-,Jboooooooooooooooooooom+4776,1105.4340820012364,6,0.0,0.0%,1200,-13
-,Cheesecake271+5205,1104.447604821444,7,0.0,0.0%,1200,-11
-,Oppapi+9478,1103.1539271503063,30,4.0,13.3%,1200,-8
-,TonyDeloreanESQ+4756,1103.0932693529649,51,5.0,9.8%,1200,-2
-,Elijah+6615,1101.9362385107702,8,0.0,0.0%,1200,-13
-,re_al_+5392,1101.4248212390153,7,0.0,0.0%,1200,-9
-,Wubba+9310,1097.8387337049662,22,2.0,9.1%,1200,-9
-,Dandel+3128,1097.640326086473,25,3.0,12.0%,1200,+34
-,DarthOblivius+1339,1095.3449889551537,55,4.0,7.3%,1200,-1
-,silverfox+4551,1085.808129927057,7,0.0,0.0%,1200,-16
-,Klishu+3272,1083.4753139228371,32,3.0,9.4%,1200,-6
-,tunnndz+4720,1081.5993178574165,26,2.0,7.7%,1261,-5
-,Doordecat+1475,1065.3716675269154,14,0.0,0.0%,1200,-5
-,100pctskillz+6186,1064.2852618349941,46,6.0,13.0%,1241,-6
-,HyenaDon+4502,1064.0012568341554,53,4.0,7.5%,1200,-2
-,Dizzz+246,1063.9345806028607,10,0.0,0.0%,1200,-10
-,Aceosd+1686,1062.593367123983,15,0.0,0.0%,1200,-7
-,Raybit+2953,1061.6723794359496,9,0.0,0.0%,1200,-14
-,DrCheeseFiend+3515,1060.2710100023453,12,0.0,0.0%,1200,-5
-,hanban+3911,1059.6784052106502,10,0.0,0.0%,1200,-16
-,DawnDiVito+5802,1049.7757270365423,54,4.0,7.4%,1200,-1
-,Munchking+5998,1044.3933722273907,27,1.0,3.7%,1200,-5
-,Lex25+415,1044.348001061871,13,0.0,0.0%,1200,-3
-,cjahwon+6865,1035.4253012557053,43,2.0,4.7%,1200,-6
-,BaliHoo+3674,1034.946292866222,34,2.0,5.9%,1200,-4
-,buurn+343,1024.5002005266795,87,8.0,9.2%,1316,-1
